Country,Age,Occupation,Education_Level,Income_USD,Daily_Screen_Time_Hours,Phone_Unlocks_Per_Day,Social_Media_Usage_Hours,Gaming_Usage_Hours,Streaming_Usage_Hours,Messaging_Usage_Hours,Work_Related_Usage_Hours,Sleep_Hours,Physical_Activity_Hours,Mental_Health_Score,Depression_Score,Anxiety_Score,Stress_Level,Time_Spent_With_Family_Hours,Internet_Connection_Type,Primary_Device_Brand,Has_Screen_Time_Management_App,Self_Reported_Addiction_Level,Monthly_Data_Usage_GB,Has_Night_Mode_On,Age_First_Phone,Push_Notifications_Per_Day,Tech_Savviness_Score
China,16,Teacher,High School,-7701.2,6.28,101,2.08,1.34,2.26,1.34,0.59,5.48,1.93,77.04,55.87,54.35,27.69,0.69,4G,Apple,Yes,Severe,19.04,Yes,13,145,15.07
UK,47,Manager,Master's,44849.63,4.07,46,2.28,1.09,2.98,1.15,0.57,6.98,1.03,62.33,9.62,63.37,63.99,1.4,WiFi,Apple,Yes,Severe,24.22,No,16,126,38.17
Japan,29,Artist,None,35015,3.71,89,3.17,3.63,1.5,1.45,0.29,5.45,0.58,64.9,39.62,86.44,35.29,2.03,5G,OnePlus,Yes,Low,19.58,No,8,107,72.55
USA,29,Manager,Master's,31616.51,7.7,122,3.59,1.33,1.7,1.84,0.56,6.25,0.88,55.45,24.62,62.99,56.5,1.87,4G,Huawei,No,Moderate,13.8,Yes,16,139,65.71
China,38,Doctor,High School,29280.66,4.63,94,1.13,0.79,3.15,1.13,2.71,7.16,0.74,88.53,42.89,64.86,46.61,1.78,5G,Other,Yes,High,28.34,Yes,15,99,32.92
Japan,68,Artist,Bachelor's,33812.35,9.6,56,1.56,1.24,1.35,0.9,1.69,6.81,0.72,53.56,97.23,21.4,89.63,1.78,3G,Samsung,No,High,31.51,No,19,105,90.51
USA,63,Doctor,High School,34178.38,5.22,100,0.79,0.36,2.05,1.41,1.8,7.09,-0.09,94.09,22.65,7.84,60.8,1.42,WiFi,OnePlus,Yes,Low,20.69,Yes,18,104,73.33
Brazil,41,Teacher,Master's,56991.84,5.99,72,1.75,1.33,0.36,2.18,2.47,6.58,1.2,22.03,92.76,77.63,65.72,1.22,3G,Apple,Yes,Severe,20.12,No,8,71,71.11
Russia,40,Artist,High School,39205.15,4.53,64,2.24,1.73,2.11,1.47,1.32,6.72,1.23,6.98,83.55,81.48,77.15,0.43,WiFi,Huawei,Yes,Low,19.75,Yes,8,112,77.84
Brazil,26,Doctor,High School,41868.24,5.68,87,1.92,0.56,4.27,0.96,2.32,5.51,1.12,27.36,47.94,1.06,19.54,1.19,5G,Huawei,Yes,High,12.84,Yes,14,89,47.55
USA,46,Manager,Bachelor's,39494.59,4.61,109,1.97,1.24,2.36,0.95,1.11,6.77,1.33,94.44,17.05,51.26,50.02,1.48,WiFi,Xiaomi,Yes,High,26.3,No,13,44,28.01
USA,59,Teacher,Bachelor's,49427.11,6.8,31,1.81,2.72,2.64,1.71,2.44,5.14,0.94,79.7,85.58,51.55,84.52,1.19,4G,Other,Yes,Low,33.24,Yes,14,75,54.3
Mexico,12,Teacher,None,23264.34,9.8,88,2.53,1.3,3.14,1.82,2.49,6.05,0.39,0.28,58.83,12.46,94.93,1.68,5G,Samsung,No,Moderate,23.17,No,19,121,77.98
Russia,45,Engineer,None,49187.32,4.96,94,1.24,0.64,2.58,1.52,2.77,7.94,0.94,16.4,18.51,49.18,83.53,2.18,WiFi,Samsung,Yes,Low,20.99,No,9,92,38.39
Russia,12,Unemployed,High School,33210.31,6.69,90,2.12,1.18,1.97,1.58,2.78,6.53,1.23,41.23,86.29,60.25,20.71,0.35,5G,Xiaomi,Yes,Low,36.31,No,20,86,14.96
China,31,Manager,High School,19853.02,7.48,57,0.78,2.53,3.32,1.96,2.19,6.41,1.88,13.82,33.5,84.26,71.97,-0.2,3G,OnePlus,Yes,Severe,17.64,No,20,126,3.5
Russia,13,Doctor,None,45078.73,4.67,58,0.8,1.61,2.4,1.19,1.68,6.3,0.96,20.18,77.07,52.43,27.53,2.47,4G,Other,Yes,Low,7.47,No,17,107,30.23
India,43,Student,None,40001.47,8,54,1.7,2.51,2.81,2.41,1.6,5,1.94,82.65,16.78,4.67,34.74,0.51,4G,Other,Yes,Low,12.85,Yes,12,80,89.22
Germany,45,Unemployed,PhD,22681.57,4.51,74,1.2,1.77,2.1,0.82,2.85,7.41,1.1,24.87,34.52,99.35,41.89,1.33,3G,OnePlus,Yes,Low,19.68,No,10,84,54.3
UK,34,Teacher,None,37654.04,6.09,80,3.49,1.53,2.42,1.77,0.62,5.37,0.66,59.94,39.44,96.74,66.08,0.47,5G,Huawei,No,Moderate,13.4,Yes,12,80,4.15
Mexico,41,Unemployed,Master's,47500.35,7.27,51,2.02,1.41,2.96,0.75,2.89,7.16,0.52,27.59,62.76,45.01,34.64,0.73,WiFi,Xiaomi,Yes,Severe,25.44,No,16,109,53.05
USA,46,Artist,High School,24913.49,9.73,113,2.01,0.51,1.01,2.05,1.88,7.42,1.47,54.86,85.18,10.79,1.23,1.84,3G,OnePlus,No,Moderate,18.08,Yes,15,108,82.69
UK,65,Engineer,High School,29245.43,9.15,61,1.78,2.55,1.62,1.43,3.54,7.28,0.9,19.26,17.6,63.03,1.79,0.86,4G,Xiaomi,Yes,High,13.81,No,18,104,58.16
Nigeria,61,Unemployed,Bachelor's,47934.8,2.84,74,1.01,2.07,1.8,1.7,2.2,8.08,1.34,81.58,41.91,64.41,57.63,0.44,3G,Huawei,No,Moderate,16.09,Yes,11,124,10.4
UK,68,Artist,None,62572.99,4.89,9,3.03,2.51,2.64,0.66,2.08,6.62,0.41,91.48,48.1,16.22,38.25,1.36,WiFi,OnePlus,No,Moderate,10.06,No,20,108,34.64
UK,29,Unemployed,High School,-9350.05,6.85,81,2.78,0.16,1.19,1.81,1.59,7.63,0.98,81.2,65.85,85.37,10.32,0.05,5G,OnePlus,Yes,Moderate,13.82,No,18,85,74.49
Russia,33,Unemployed,Master's,11015.03,7.67,51,1.63,1.11,0.96,2.63,0.91,6.67,0.6,9.33,9.41,26.87,14.66,2.26,3G,Huawei,Yes,High,5.42,No,9,109,5.29
Germany,44,Manager,High School,45582.24,5.64,33,0.29,2.67,2.06,1.11,3.34,8.92,0.37,0.6,49.56,44.1,26.55,1.52,3G,OnePlus,Yes,High,28.74,Yes,17,137,99.51
Japan,55,Manager,None,15099.6,3.88,98,2.73,1.76,0.72,1.5,2.34,5.24,0.69,20.28,4.79,9.75,36.84,1.19,4G,Huawei,No,Moderate,25.58,No,8,43,28.86
Japan,47,Unemployed,None,31784.28,4.02,106,1.91,1.74,1.38,1.88,0.65,7.34,0.9,75.96,76.02,14.22,23.79,0.73,WiFi,Huawei,No,Low,23.66,Yes,19,69,32.8
Brazil,52,Artist,Master's,43330.67,9.93,97,3.25,0.92,3.18,1.74,2.25,7.93,1.15,50.73,64.35,0.92,53.7,1.65,WiFi,Xiaomi,Yes,Low,36.03,Yes,12,137,38.23
UK,46,Doctor,High School,19597.85,3.4,101,3.38,2.17,1.21,1.37,1.37,5.11,1.12,53.55,11.24,23.35,20.23,1.02,5G,Xiaomi,No,Severe,10.09,No,20,96,48.08
Nigeria,30,Unemployed,None,51452.01,6.64,102,3.78,0.92,1.65,1.59,2.62,6.44,0.64,69.32,95.71,25.37,26.99,0.65,4G,Samsung,No,Low,29.19,No,12,159,75.97
India,67,Teacher,High School,31561,2.32,38,0.92,1.85,3.54,1.47,1.04,5.7,1.4,56.09,85.75,98.9,72.57,0.98,4G,Xiaomi,Yes,Moderate,18.73,No,10,81,52.88
Germany,22,Artist,PhD,31211.77,5.51,1,2.22,1.16,1.56,0.64,3.46,6.65,0.98,57.3,8.54,65.39,35.96,2.73,WiFi,Xiaomi,No,High,10.7,No,16,114,56.04
India,25,Engineer,None,33764.87,7.53,66,1.04,2.06,1.68,1.67,4.12,7.74,0.57,65.38,67.87,22.9,91.08,3.61,5G,Apple,No,Severe,40.48,No,18,87,93.27
Mexico,31,Artist,PhD,40698.17,5.37,47,2.36,1.12,3.24,1.35,1.32,8.74,1.49,57.79,86.64,93.01,68.94,1.37,3G,Other,Yes,Low,29.96,Yes,13,76,87.66
Russia,42,Teacher,Master's,38171.95,5.25,66,2.52,-0.17,1.2,1.77,2.08,4.29,0.65,25.76,8.77,21.7,95.88,0.6,4G,Xiaomi,No,High,22.11,No,8,139,54.51
China,23,Artist,High School,25240.61,1.29,99,0.36,1.92,1.45,1.77,0.98,7.15,0.35,71.77,37.52,38.64,70.23,1.19,5G,Other,Yes,Low,21.07,Yes,16,57,72.69
Japan,54,Engineer,None,7000.46,3.56,114,1.87,1.68,1.56,1.57,2.24,6.11,1.02,32.09,78.92,60.37,76.5,0.95,4G,OnePlus,No,High,30,No,20,116,8.74
UK,27,Teacher,None,31369.91,5.3,97,1.59,3.11,0.62,1.33,0.86,6.76,0.35,33.45,13.22,16.18,97.11,1.72,WiFi,Xiaomi,No,High,24.62,No,17,117,29.18
Nigeria,29,Student,None,202,6.05,125,1.4,2.3,3.01,0.71,1.2,4.52,1.83,75.48,12.3,36.31,5.37,1.71,3G,Apple,Yes,Severe,37.08,Yes,15,133,1.72
Nigeria,56,Artist,PhD,16006.75,5.33,26,3,1.67,2.44,1.84,1.52,6.66,0.84,27.97,80.52,92.6,33.94,1.48,3G,Apple,No,Severe,17.81,Yes,19,84,48.26
Nigeria,18,Engineer,Bachelor's,35403.59,6.39,68,2,2.3,1.42,1.08,0.42,6.67,0.77,89.8,51.75,18.08,95.48,1.07,WiFi,Apple,No,Low,15.68,Yes,13,100,81.47
USA,21,Unemployed,None,771.79,6.67,115,1.7,1.44,1.31,1.36,2.09,6.63,0.62,29.21,79.5,60.9,76.13,2.18,3G,Apple,No,Severe,29.5,Yes,16,127,87.6
USA,66,Teacher,Master's,13300.09,2.36,96,2.53,1.86,0.35,1.58,1.64,6.77,0.67,81.16,46.03,88.33,32.06,0.17,5G,OnePlus,Yes,Severe,17.67,No,8,94,70.73
USA,59,Engineer,Master's,32539.33,7.8,87,2.7,1.42,0.95,2.13,3.35,6.02,1.1,48.49,86.97,37.87,1.82,1.45,3G,Huawei,Yes,Low,35.16,No,11,78,51.06
Nigeria,54,Manager,Master's,24007.19,8.75,91,2.38,-0.18,1.11,1.31,2.78,4.59,0.29,15.1,63.77,91.16,93.06,0.41,WiFi,Huawei,Yes,Severe,21,Yes,16,83,1.29
UK,40,Manager,None,51228.31,6.72,85,2.11,2.68,2.38,1.21,1.97,6.55,0.34,54.54,5.42,97.88,72.87,-0.68,3G,Other,Yes,High,12.82,Yes,15,65,14.3
Nigeria,15,Salesperson,High School,34271.01,6.52,65,2.71,1.04,0.39,1.55,0.48,6.76,1.16,95.81,48.3,39.46,32.69,2.17,WiFi,Samsung,No,High,15.26,No,19,74,8.92
USA,58,Salesperson,High School,6129.85,5.22,73,2.95,2.26,3.53,1.36,2.1,6.38,1.03,27.49,52.09,91.96,64.11,1.92,5G,Apple,No,Moderate,16.75,Yes,20,49,72.98
USA,29,Teacher,None,28261.03,9.34,122,2.48,1.95,3.96,0.61,1.63,7.48,1.17,89.99,70.26,46.44,93.37,0.31,5G,Apple,Yes,Low,31.25,Yes,15,124,64.38
Japan,50,Student,Bachelor's,27796.22,2.66,99,2.21,1.48,3.08,0.78,1.12,7.17,1.16,31.21,81.16,83.87,82.27,0.61,4G,OnePlus,No,High,25.06,No,8,113,2.33
Nigeria,68,Artist,None,11299.18,6.63,80,2.18,1.53,1.66,1.47,1.86,6.92,0.9,97.82,34.82,51.88,47.92,1.47,WiFi,Huawei,No,Moderate,14.48,No,11,106,32.73
Mexico,41,Doctor,PhD,42775.84,6.32,131,1.73,1.17,0.03,1.4,3.56,6.67,1.64,37.41,24.25,68.23,88.43,1.91,5G,OnePlus,Yes,High,44.36,Yes,18,105,47.13
Nigeria,24,Unemployed,PhD,9977.65,3.94,68,2.47,-0.01,1.98,1.32,1.2,8.18,0.5,84.04,99.6,52.52,15.3,1.73,WiFi,Apple,No,Moderate,44.17,No,8,61,74.83
Brazil,16,Teacher,PhD,17617.74,4.41,68,2.26,0.33,1.89,2.11,0.99,5.87,0.33,6.99,12.61,11.84,4.51,0.5,4G,Apple,Yes,Severe,14.95,Yes,16,99,72.96
USA,21,Unemployed,PhD,23748.29,1.76,79,3.89,1.46,1.11,1.63,2.62,5.3,0.21,70.44,44.66,25.77,24.76,0.9,WiFi,Other,Yes,Low,39.99,No,11,149,55.98
